field_name,korean_meaning,entity,data_type,current_source,current_coverage,null_unknown_allowed,search_filter,ui_candidate,future_collect,group,notes
place.name,서비스 장소명,Place,Text,KTO title,2126/2126,아니오,예,예,예,A,현재는 KTO title을 초기값으로 사용 가능
place.serviceCategory,댕제주 서비스 카테고리,Place,ServiceCategory,없음,0/2126,예,예,예,예,C,KTO contentTypeId와 별도 관리
place.municipality,행정시,Place,Enum,KTO lDongSignguCd,2126/2126,예,예,예,예,A,110 제주시와 130 서귀포시
place.regionArea,서비스 권역,Place,RegionArea,없음,0/2126,예,예,예,예,C,동서부는 주소 파싱 후 검증할 미래 파생값. regionName은 이 Enum의 표시 라벨
place.regionName,권역 표시명,Place,Text,없음,0/2126,예,아니오,예,예,C,regionArea Enum의 표시 라벨. 앱 Place.regionName UX 보존. 별도 원천 아님
place.shortDescription,한 줄 설명,Place,Text,없음,0/2126,예,아니오,예,예,C,앱 UX 보존
place.fullDescription,상세 설명,Place,Text,없음,0/2126,예,아니오,예,예,C,앱 UX 보존
place.address,서비스 표시 주소,Place,Text,KTO addr1,2126/2126,아니오,예,예,예,A,V1 초기값은 addr1만. addr2는 PlaceSourceRecord에 보존. UI 결합은 표시 규칙이지 저장 규칙이 아님
place.roadAddress,도로명 주소,Place,Text,없음,0/2126,예,예,예,예,C,addr1이 항상 도로명인지 확정하지 않음
place.latitude,서비스 위도,Place,Decimal,KTO mapy,2126/2126,예,예,예,예,A,품질 상태와 함께 사용
place.longitude,서비스 경도,Place,Decimal,KTO mapx,2126/2126,예,예,예,예,A,영주산 오류값도 원천과 동일하게 보존
place.coordinateQualityStatus,좌표 품질 상태,Place,Enum,현재 데이터 검증,2126/2126,아니오,예,아니오,예,A,적재 시 계산. 2125 정상 범위 + 영주산 SOURCE_ANOMALY 1건. 원천 좌표를 고치지 않음
place.parkingInfo,주차 정보,Place,Text,없음,0/2126,예,아니오,예,예,C,앱 필수 보존
place.businessHours,운영 시간,Place,Text,없음,0/2126,예,예,예,예,C,향후 구조화 시간표 검토
place.closedDays,휴무일,Place,Text,없음,0/2126,예,예,예,예,C,앱 필수 보존
